Trial Order,.nDown,.staircase,.minVal,.stepType,.label,.stepSizes,.nUp,.startVal,.condition,.thisIndex,.thisRepN,.thisN,.direction,.stepSize,.intensity,actual_onset_time,actual_offset_time,intertrial_interval,prestimulus_period,stimulus_presentation_window,poststimulus_waiting_period,correct_answer,answer_choice_position,answer_choice,is_correct,RT,.response,wordlist,gender,date-run,hand,conditions,subject,,,
11,1,baseline,0.05,db,easy,4,3,2,Auditory,0,1,0,start,4,2,0.833333333,2.0345417,1,1,1,1,code,down,code,TRUE,145.4303629,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,1
14,1,baseline,0.05,db,easy,4,3,2,Auditory,0,2,3,down,4,1.261914689,1.166666667,2.134312517,1,1,1,1,duel,down,duel,TRUE,176.5737898,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,1
16,1,baseline,0.05,db,easy,4,3,2,Auditory,0,3,5,down,4,0.796214341,0.05,1.017645851,1,1,1,1,tie,right,lie,FALSE,196.3734009,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,2
17,1,baseline,0.05,db,easy,4,3,2,Auditory,0,4,6,up,4,1.261914689,0.483333333,1.78464586,1,1,1,1,slide,up,guide,FALSE,206.7252779,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,2
20,1,baseline,0.05,db,easy,4,3,2,Auditory,0,5,9,up,4,1.261914689,0.066666667,1.23449998,1,1,1,1,thing,right,think,FALSE,236.1326969,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,2
52,1,baseline,0.05,db,easy,4,3,2,Auditory,0,6,11,up,4,1.261914689,0.733333333,1.600874973,1,1,1,1,told,down,sold,FALSE,598.3824909,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,2
54,1,baseline,0.05,db,easy,4,3,2,Auditory,0,7,13,up,4,2,0.6,1.968041695,1,1,1,1,vain,left,vain,TRUE,618.358047,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,1
55,1,baseline,0.05,db,easy,4,3,2,Auditory,0,8,14,down,4,1.261914689,1.55,2.68447919,1,1,1,1,wide,left,ride,FALSE,629.5659618,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,2
58,1,baseline,0.05,db,easy,4,3,2,Auditory,0,9,17,down,4,1.261914689,0.75,1.851104175,1,1,1,1,send,up,send,TRUE,659.9092669,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,1
60,1,baseline,0.05,db,easy,4,3,2,Auditory,0,10,19,down,4,0.796214341,1,2.034375001,1,1,1,1,tick,left,wick,FALSE,679.2129478,FALSE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,false,2
12,1,baseline,0.05,db,hard,4,1,2,Auditory,1,1,1,start,4,2,0.45,1.484375001,1,1,1,1,hose,left,hose,TRUE,155.2941508,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,1
13,1,baseline,0.05,db,hard,4,1,2,Auditory,1,2,2,down,4,1.261914689,1.7,2.867833313,1,1,1,1,bring,right,bring,TRUE,166.0941858,TRUE,list1.yaml,female,2017-Jan-19-161918,right,"['Auditory', 'Environmental', 'Visual', 'Phoneme']",Rae_2_A_E_AV_P,,true,
