.maxVal,.nDown,.staircase,.minVal,.nUp,.label,.stepSizes,.startVal,.condition,.thisIndex,.thisRepN,.thisN,.direction,.stepSize,.stepType,.intensity,actual_onset_time,actual_offset_time,intertrial_interval,prestimulus_period,stimulus_presentation_window,poststimulus_waiting_period,correct_answer,answer_choice_position,answer_choice,is_correct,RT,.response,gender,subject,date-run,hand,
1.0,1,baseline,0.05,3,easy,4,1.0,Environmental,0,1,0,start,4,db,1.0,0.883333333333,1.93693878481,1,1,1,1,sheep,left,fish,False,19.4048340321,False,male,,2016_Nov_14_1046,left,
1.0,1,baseline,0.05,1,hard,4,1.0,Environmental,1,1,1,start,4,db,1.0,0.316666666667,1.90262503279,1,1,1,1,cow,right,sheep,False,27.908714056,False,male,,2016_Nov_14_1046,left,
1.0,1,baseline,0.05,3,easy,4,1.0,Environmental,0,2,2,up,4,db,1.0,0.916666666667,2.87566885299,1,1,1,1,rooster,NA,NA,False,NA,False,male,,2016_Nov_14_1046,left,
1.0,1,baseline,0.05,1,hard,4,1.0,Environmental,1,2,3,up,4,db,1.0,1.8,2.85360545147,1,1,1,1,sheep,NA,NA,False,NA,False,male,,2016_Nov_14_1046,left,
1.0,1,baseline,0.05,3,easy,4,1.0,Environmental,0,3,4,up,4,db,1.0,0.666666666667,2.25262503279,1,1,1,1,cow,left,sheep,False,59.4696729183,False,male,,2016_Nov_14_1046,left,
1.0,1,baseline,0.05,1,hard,4,1.0,Environmental,1,3,5,up,4,db,1.0,0.433333333333,2.39233551965,1,1,1,1,rooster,up,fish,False,68.3500080109,False,male,,2016_Nov_14_1046,left,
1.0,1,baseline,0.05,3,easy,4,1.0,Auditory,0,1,0,start,4,db,1.0,0.216666666667,1.15093754438,1,1,1,1,bead,up,bead,True,80.0302460194,True,male,,2016_Nov_14_1046,left,
1.0,1,baseline,0.05,1,hard,4,1.0,Auditory,1,1,1,start,4,db,1.0,0.733333333333,1.66760421104,1,1,1,1,bead,down,bead,True,88.9183530807,True,male,,2016_Nov_14_1046,left,
1.0,1,baseline,0.05,1,hard,4,1.0,Auditory,1,2,2,down,4,db,0.63095734448,0.7,1.73437500096,1,1,1,1,action,right,action,True,98.0064730644,True,male,,2016_Nov_14_1046,left,
1.0,1,baseline,0.05,3,easy,4,1.0,Auditory,0,2,3,down,4,db,0.63095734448,1.41666666667,2.45104166763,1,1,1,1,action,up,action,True,107.134838104,True,male,,2016_Nov_14_1046,left,
