feeder: [feeder, leader, leaver, fever]
loon: [loon, loom, loop, loot]
mire: [mire, liar, sire, hire]
least: [least, feast, feet, leech]
strainer: [strainer, straighter, traitor, trainer]
throne: [throne, tone, lone, phone]
sell: [sell, yell, well, bell]
worn: [worn, born, torn, horn]
prayed: [prayed, paid, fade, frayed]
kidding: [kidding, kissing, hissing, hitting]
copy: [copy, coffee, costly, cocky]
polling: [polling, bowling, rolling, trolling]
begging: [begging, beckon, bacon, bagging]
call: [call, coal, foal, fall]
prude: [prude, proof, prove, prune]
cure: [cure, sure, pure, lure]
group: [group, groove, groom, grew]
poke: [poke, woke, joke, oak]
rag: [rag, rack, sack, sag]
steered: [steered, smeared, seared, sheared]
ashen: [ashen, action, faction, fashion]
lash: [lash, lass, last, latch]
cheater: [cheater, beater, meter, heater]
road: [road, rope, toad, hope]
scuttle: [scuttle, subtle, scuffle, shuffle]
appropriate: [appropriate, appreciate, approximate, abbreviate]
carriage: [carriage, cabbage, carnage, baggage]
bourbon: [bourbon, burden, urban, turban]
stray: [stray, stay, tray, say]
trite: [trite, tike, type, tight]
excavate: [excavate, emigrate, escalate, emulate]
cord: [cord, corn, cork, core]
cage: [cage, rage, page, wage]
grope: [grope, grow, sow, soap]
plod: [plod, prod, pod, pawed]
chafe: [chafe, chase, chain, change]
sense: [sense, tense, dense, hence]
clash: [clash, class, glass, flash]
flog: [flog, fog, cog, clog]
falls: [falls, fault, false, Fawn]
define: [define, decline, divine, design]
bumble: [bumble, bubble, rumble, rubble]
night: [night, knife, life, light]
hook: [hook, cook, book, look]
vase: [vase, face, race, lace]
bull: [bull, bowl, fowl, full]
friend: [friend, trend, tend, fend]
lap: [lap, lab, lad, lag]
skate: [skate, sate, spate, slate]
table: [table, label, ladle, able]
lock: [lock, mock, rock, sock]
receive: [receive, retrieve, reprieve, relieve]
cuddle: [cuddle, couple, supple, puddle]
penned: [penned, tend, bend, mend]
height: [height, fight, slight, might]
store: [store, snore, shore, score]
wolf: [wolf, wool, wood, whorl]
femur: [femur, feature, fever, feeder]
kitchen: [kitchen, kitten, written, kicking]
cloves: [cloves, clothes, clones, cloaks]
bleep: [bleep, bleat, bleak, bleed]
spine: [spine, shine, sign, swine]
prop: [prop, plop, flop, drop]
debt: [debt, dead, death, deck]
pier: [pier, sear, dear, beer]
bruise: [bruise, cruise, crude, brood]
find: [find, fine, mine, mind]
hear: [hear, gear, rear, near]
shake: [shake, steak, stank, snake]
page: [page, pave, pay, pace]
expend: [expend, extent, expense, extend]
teams: [teams, tease, teeth, trees]
rocker: [rocker, robber, logger, locker]
ski: [ski, see, she, spree]
taught: [taught, fought, fraught, thought]
seed: [seed, seal, steal, steed]
leave: [leave, leaf, leap, league]
crash: [crash, trash, track, crack]
plane: [plane, plate, ate, pain]
pudgy: [pudgy, puppy, putty, puffy]
colder: [colder, holder, folder, boulder]
cancel: [cancel, candle, cattle, council]
fledge: [fledge, fleck, fled, flesh]
risk: [risk, wrist, lisp, disk]
cheap: [cheap, chief, cheek, cheat]
turn: [turn, turf, term, terse]
greet: [greet, green, greek, grieve]
need: [need, deed, lead, heed]
leper: [leper, lever, lesser, ledger]
rich: [rich, hitch, pitch, itch]
comport: [comport, consort, contort, cavort]
taste: [taste, paste, based, faced]
tiger: [tiger, tire, timer, tighter]
boast: [boast, post, toast, roast]
twist: [twist, twitch, which, wish]
jailed: [jailed, hailed, nailed, failed]
breed: [breed, bead, feed, freed]
cube: [cube, tube, rube, dude]
summer: [summer, supper, suffer, slumber]
mother: [mother, mugger, mutter, muster]
